City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
299,mahanoro,24,MG,1547613896,82,-19.9,48.8,80.73,2.73
300,manaus,0,BR,1547611200,83,-3.13,-59.98,78.8,3.36
301,toora-khem,24,RU,1547613852,51,52.47,96.11,-1.98,2.39
302,gberia fotombu,0,SL,1547613897,49,9.88,-11.17,62.91,5.75
303,saskylakh,24,RU,1547613567,51,71.97,114.09,-30.78,18.5
304,katsuura,75,JP,1547611200,74,33.93,134.5,48.2,11.41
305,nouadhibou,32,MR,1547607600,51,20.93,-17.03,60.8,12.75
306,margate,75,AU,1547611200,52,-43.03,147.26,68.0,18.34
307,arlit,0,NE,1547613628,75,18.74,7.39,45.09,3.18
308,lampang,20,TH,1547611200,69,18.29,99.49,80.6,4.7
309,kindu,56,CD,1547613898,93,-2.95,25.92,74.07,2.39
310,ashqelon,0,IL,1547612400,34,31.67,34.57,53.6,20.8
311,tamalameque,0,CO,1547613898,63,8.86,-73.82,83.16,5.41
312,ghelinta,76,RO,1547613827,77,45.95,26.23,28.08,8.77
313,mayahi,0,NE,1547613899,63,13.95,7.67,47.34,9.1
314,abidjan,20,CI,1547611200,88,5.32,-4.02,82.4,9.17
315,nishihara,20,JP,1547611200,32,35.74,139.53,51.8,14.99
316,tabas,0,IR,1547611200,65,33.6,56.92,41.0,4.7
317,merauke,32,ID,1547613900,86,-8.49,140.4,85.86,8.43
318,sao filipe,0,CV,1547613495,100,14.9,-24.5,71.1,14.25
319,great yarmouth,92,GB,1547612400,87,52.61,1.73,46.4,12.75
320,mount isa,75,AU,1547611200,24,-20.73,139.49,100.4,4.7
321,bathsheba,40,BB,1547611200,78,13.22,-59.52,77.0,14.99
322,blytheville,1,US,1547612100,100,35.93,-89.92,35.96,4.7
323,leyland,75,GB,1547612400,81,53.69,-2.7,50.0,9.17
324,vestmannaeyjar,0,IS,1547613484,100,63.44,-20.27,27.63,19.17
325,jijiga,0,ET,1547613901,37,9.35,42.8,65.97,3.74
326,naze,8,NG,1547613522,92,5.43,7.07,70.74,3.18
327,evanston,90,US,1547613060,88,42.04,-87.69,33.08,11.41
328,sioux lookout,20,CA,1547611200,76,50.1,-91.92,-4.01,6.93
329,rosario,0,UY,1547613630,93,-34.31,-57.35,65.43,5.08
330,luganville,68,VU,1547613903,100,-15.51,167.18,81.99,6.42
331,la palma,64,CO,1547613904,100,5.36,-74.39,64.98,2.17
332,krasnyy chikoy,0,RU,1547613713,37,50.36,108.75,18.63,2.95
333,totness,20,US,1547612640,96,33.74,-80.8,42.8,2.84
334,sawtell,12,AU,1547611200,61,-30.38,153.1,91.4,24.16
335,bagdarin,0,RU,1547613905,58,54.44,113.59,7.74,2.28
336,aneho,20,TG,1547611200,94,6.23,1.6,80.6,4.7
337,zelenets,92,RU,1547613906,93,53.83,48.02,28.44,16.82
338,tchollire,0,CM,1547613906,70,8.4,14.17,54.72,2.06
339,narsaq,80,GL,1547610600,79,60.91,-46.05,26.6,3.36
340,padang,40,ID,1547609400,62,-0.92,100.36,84.2,2.24
341,laguna,0,MX,1547613907,89,27.52,-110.01,56.97,2.39
342,lakeway,75,US,1547613300,100,30.36,-97.99,50.0,5.82
343,kodiak,90,US,1547610900,100,39.95,-94.76,32.0,8.05
344,caravelas,32,BR,1547613646,100,-17.73,-39.27,80.73,11.9
345,christchurch,36,NZ,1547613000,63,-43.53,172.64,64.4,18.34
346,broome,92,GB,1547612400,87,52.47,1.45,46.4,12.75
347,matagami,0,NG,1547613908,48,9.67,8.4,59.22,4.18
348,ngorongoro,92,TZ,1547613908,100,-3.24,35.49,58.77,2.73
349,broken hill,32,AU,1547611200,9,-31.97,141.45,113.0,20.8
350,treinta y tres,88,UY,1547613908,100,-33.23,-54.39,67.32,10.0
351,sao joao da barra,0,BR,1547613668,97,-21.64,-41.05,79.47,26.22
352,ust-kan,76,RU,1547613909,78,50.93,84.77,15.21,2.39
353,sola,90,NO,1547612400,93,58.89,5.65,46.4,12.75
354,airai,64,TL,1547613512,74,-8.93,125.41,80.37,0.72
355,cockburn town,0,TC,1547613424,100,21.46,-71.14,77.4,7.99
356,galbshtadt,80,RU,1547613864,90,53.23,78.98,16.92,6.64
357,bakchar,64,RU,1547613910,83,57.02,82.07,14.85,3.62
358,tanabe,40,JP,1547611200,53,33.73,135.39,50.0,16.11
359,roshal,80,RU,1547613910,85,55.66,39.88,21.24,7.76
360,ixtapa,75,MX,1547610300,100,20.71,-105.21,75.2,2.24
361,kysyl-syr,8,RU,1547613666,0,63.9,122.77,-43.11,3.06
362,tecpan,20,GT,1547611200,77,14.76,-90.99,60.8,16.11
363,novoagansk,76,RU,1547613863,75,61.94,76.66,11.97,7.65
364,ostrovnoy,80,RU,1547613646,82,68.05,39.51,15.57,6.98
365,clyde river,1,CA,1547611200,74,70.47,-68.59,-25.61,5.82
366,araceli,0,PH,1547613911,98,10.55,119.99,80.55,25.1
367,jacqueville,20,CI,1547611200,88,5.21,-4.42,82.4,9.17
368,caucaguita,20,VE,1547611200,88,10.36,-66.8,73.4,2.24
369,pizarro,68,CO,1547613912,98,4.95,-77.37,78.39,1.61
370,khandyga,12,RU,1547613912,0,62.65,135.58,-44.82,2.73
371,nizwa,0,OM,1547613913,67,22.93,57.53,68.76,3.4
372,bodden town,92,KY,1547613913,100,19.28,-81.25,77.04,11.79
373,the pas,1,CA,1547611200,74,53.82,-101.24,-22.01,3.18
374,new glasgow,0,CA,1547613914,91,45.59,-62.65,15.3,6.2
375,mitu,12,IR,1547613914,63,36.2,46.09,34.11,4.18
376,bang saphan,20,TH,1547611200,66,11.21,99.51,87.8,4.7
377,daru,0,SL,1547613629,86,7.99,-10.85,71.19,3.18
378,saint george,20,GR,1547612400,59,39.45,22.34,33.8,16.11
379,huarmey,12,PE,1547613733,94,-10.07,-78.15,63.0,3.18
380,belmonte,36,PT,1547613659,73,40.36,-7.35,27.27,2.62
381,oyem,92,GA,1547613916,98,1.6,11.57,71.19,2.73
382,marzuq,0,YE,1547613916,31,14.4,46.47,65.61,4.07
